Source,Target,From,To ,Catagory
1,2,Thomas Becket,Fulk of Rheims,d
1,2,Thomas Becket,Fulk of Rheims,d
1,3,Thomas Becket,Master Lombard,c
4,1,Bishop Arnulf of Lisieux,Thomas Becket,d
5,1,Bishop John of Poitiers,Thomas Becket,d
6,7,John of Salisbury,Nicholas de Sigillo,d
6,8,John of Salisbury,Master Nicholas,c
6,9,John of Salisbury,William de Turba,c
6,5,John of Salisbury,Bishop John of Poitiers,c
6,10,John of Salisbury,"Gratian, papal notary",d
